"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
332 11.0651 11.0651 302.035 302.035
405 11.0128 11.0128 301.983 301.983
422 9.08732 9.08732 300.057 300.057
495 7.58013 7.58013 298.55 298.55
532 2.11596 2.11596 293.086 293.086
750 169.253 2.11596 460.223 293.086
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1399.28 1399.28 1202.94 1202.94
3 827.698 827.698 631.358 631.358
7 445.336 445.336 248.996 248.996
8 200.221 200.221 3.88128 3.88128
17 62.3539 62.3539 -133.986 -133.986
28 50.9815 50.9815 -145.359 -145.359
50 3182.57 50.9815 2986.23 -145.359
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 588.745 588.745 569.395 569.395
4 140.372 140.372 121.022 121.022
28 105.298 105.298 85.9481 85.9481
38 39.6853 39.6853 20.3353 20.3353
416 25.7715 25.7715 6.42146 6.42146
469 21.0274 21.0274 1.67742 1.67742
750 101.957 21.0274 82.6069 1.67742
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3369.55 3369.55 3038.13 3038.13
2 2807.33 2807.33 2475.91 2475.91
3 287.74 287.74 -43.6796 -43.6796
5 106.523 106.523 -224.897 -224.897
26 73.3546 73.3546 -258.065 -258.065
50 443.377 73.3546 111.957 -258.065
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 206.956 206.956 619.876 619.876
3 42.878 42.878 455.798 455.798
24 39.4344 39.4344 452.354 452.354
58 39.4103 39.4103 452.33 452.33
109 21.1717 21.1717 434.092 434.092
400 20.6396 20.6396 433.56 433.56
406 16.196 16.196 429.116 429.116
416 6.06516 6.06516 418.985 418.985
750 21.8644 6.06516 434.784 418.985
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 106.393 106.393 323.333 323.333
25 82.3768 82.3768 299.317 299.317
30 74.3968 74.3968 291.337 291.337
81 26.2942 26.2942 243.234 243.234
359 24.2362 24.2362 241.176 241.176
414 23.9904 23.9904 240.93 240.93
620 22.6702 22.6702 239.61 239.61
750 60.6787 22.6702 277.619 239.61
