"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.82828e+07 9.82828e+07 9.82829e+07 9.82829e+07
4 4.86053e+07 4.86053e+07 4.86054e+07 4.86054e+07
6 3.13943e+06 3.13943e+06 3.13947e+06 3.13947e+06
11 531.572 531.572 566.342 566.342
553 213.836 213.836 248.606 248.606
723 58.0216 58.0216 92.7916 92.7916
20000 7.41051e+19 58.0216 7.41051e+19 92.7916
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.77379e+06 1.77379e+06 1.77324e+06 1.77324e+06
6 79397.4 79397.4 78843.6 78843.6
23 871.183 871.183 317.363 317.363
20000 7.81739e+41 871.183 7.81739e+41 317.363
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.44225e+06 8.44225e+06 8.4419e+06 8.4419e+06
4 5.87369e+06 5.87369e+06 5.87334e+06 5.87334e+06
5 521556 521556 521210 521210
11 376775 376775 376429 376429
17 2119.25 2119.25 1772.86 1772.86
20000 2.49067e+85 2119.25 2.49067e+85 1772.86
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.72859e+06 1.72859e+06 1.72775e+06 1.72775e+06
2 601949 601949 601110 601110
10 513166 513166 512327 512327
21 240598 240598 239760 239760
34 107383 107383 106544 106544
69 418.807 418.807 -419.993 -419.993
147 59.1517 59.1517 -779.648 -779.648
20000 2.64571e+49 59.1517 2.64571e+49 -779.648
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.13993e+07 7.13993e+07 7.13993e+07 7.13993e+07
2 327156 327156 327199 327199
4 78916.2 78916.2 78958.8 78958.8
11 14379.6 14379.6 14422.2 14422.2
61 10583.2 10583.2 10625.8 10625.8
113 6087.85 6087.85 6130.44 6130.44
148 3578.39 3578.39 3620.98 3620.98
20000 2.27359e+09 3578.39 2.27359e+09 3620.98
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.3389e+06 8.3389e+06 8.33896e+06 8.33896e+06
3 3.99948e+06 3.99948e+06 3.99954e+06 3.99954e+06
6 241528 241528 241592 241592
7 26658.7 26658.7 26723 26723
29 8432.7 8432.7 8497.01 8497.01
